Airline,Departure Time,Arrival Time,Price,Currency,Layovers,Departure Date,Source Airport,Destination Airport
F9,2024-10-05T21:57:00,2024-10-06T00:29:00,44.74,EUR,,2024-10-05,ATL,BOS
NK,2024-10-05T14:16:00,2024-10-05T16:52:00,49.04,EUR,,2024-10-05,ATL,BOS
B6,2024-10-05T06:00:00,2024-10-05T08:33:00,61.94,EUR,,2024-10-05,ATL,BOS
B6,2024-10-05T11:40:00,2024-10-05T14:16:00,61.94,EUR,,2024-10-05,ATL,BOS
B6,2024-10-05T18:50:00,2024-10-05T21:36:00,61.94,EUR,,2024-10-05,ATL,BOS
B6,2024-10-05T06:45:00,2024-10-05T13:46:00,79.07,EUR,JFK,2024-10-05,ATL,BOS
NK,2024-10-05T09:56:00,2024-10-05T14:38:00,82.29,EUR,EWR,2024-10-05,ATL,BOS
NK,2024-10-05T08:31:00,2024-10-05T14:38:00,82.29,EUR,EWR,2024-10-05,ATL,BOS
NK,2024-10-05T15:10:00,2024-10-05T23:07:00,87.32,EUR,BWI,2024-10-05,ATL,BOS
NK,2024-10-05T08:00:00,2024-10-05T18:44:00,87.32,EUR,DTW,2024-10-05,ATL,BOS
NK,2024-10-05T09:56:00,2024-10-05T22:22:00,87.32,EUR,EWR,2024-10-05,ATL,BOS
NK,2024-10-05T08:31:00,2024-10-05T22:22:00,87.32,EUR,EWR,2024-10-05,ATL,BOS
UA,2024-10-05T19:30:00,2024-10-05T23:59:00,102.72,EUR,IAD,2024-10-05,ATL,BOS
UA,2024-10-05T09:20:00,2024-10-05T14:13:00,102.72,EUR,IAD,2024-10-05,ATL,BOS
UA,2024-10-05T12:41:00,2024-10-05T18:00:00,102.72,EUR,EWR,2024-10-05,ATL,BOS
UA,2024-10-05T18:46:00,2024-10-06T00:44:00,102.72,EUR,ORD,2024-10-05,ATL,BOS
UA,2024-10-05T06:35:00,2024-10-05T12:45:00,102.72,EUR,ORD,2024-10-05,ATL,BOS
UA,2024-10-05T11:16:00,2024-10-05T18:00:00,102.72,EUR,EWR,2024-10-05,ATL,BOS
UA,2024-10-05T10:15:00,2024-10-05T17:24:00,102.72,EUR,ORD,2024-10-05,ATL,BOS
UA,2024-10-05T12:41:00,2024-10-05T19:50:00,102.72,EUR,EWR,2024-10-05,ATL,BOS
UA,2024-10-05T09:37:00,2024-10-05T17:18:00,102.72,EUR,IAH,2024-10-05,ATL,BOS
UA,2024-10-05T06:35:00,2024-10-05T14:35:00,102.72,EUR,ORD,2024-10-05,ATL,BOS
UA,2024-10-05T07:15:00,2024-10-05T17:18:00,102.72,EUR,IAH,2024-10-05,ATL,BOS
UA,2024-10-05T07:15:00,2024-10-05T14:38:00,102.72,EUR,IAH,2024-10-05,ATL,BOS
NK,2024-10-05T18:40:00,2024-10-06T09:02:00,105.6,EUR,MCO,2024-10-05,ATL,BOS
UA,2024-10-05T10:15:00,2024-10-05T21:56:00,107.21,EUR,EWR,2024-10-05,ATL,BOS
NK,2024-10-05T15:10:00,2024-10-06T16:22:00,118.5,EUR,BWI,2024-10-05,ATL,BOS
F9,2024-10-05T20:30:00,2024-10-06T12:07:00,121.72,EUR,MCO,2024-10-05,ATL,BOS
F9,2024-10-05T17:17:00,2024-10-06T10:51:00,121.72,EUR,RDU,2024-10-05,ATL,BOS
